vendor,family,source,dof,link_count,fidelity_class,scale_class,mesh_bytes_total,aabb_x_m,aabb_y_m,aabb_z_m,joint_range_total_rad,joint_range_total_m,license,dedup_group_size,path
rethink,sawyer,mujoco_menagerie,7,10,high,tabletop,6266952,0.991,0.1925,0.3765,45.685900000000004,0.0,Apache-2.0 (Menagerie: rethink_robotics_sawyer),3,mujoco_menagerie/rethink_robotics_sawyer/sawyer.xml
rethink,sawyer,robosuite,7,8,high,tabletop,11868098,0.991,0.1925,0.317,45.7645,0.0,"MIT (Stanford VLL + UT Robot Perception, 2022)",1,robosuite/robosuite/models/assets/bullet_data/sawyer_description/urdf/sawyer_arm.urdf
rethink,sawyer,urdf_files_dataset,8,21,high,fullsize,19588552,1.0705,0.1925,0.5931,51.868100000000005,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/matlab/sawyer_description/urdf/rethinkSawyer.urdf
robotiq,robotiq,urdf_files_dataset,1,11,medium,compact,1518856,0.0,0.1905,0.177,0.7,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/robotiq/robotiq_2f_140_gripper_visualization/urdf/robotiq_arg2f_140_model.urdf
robotiq,robotiq,urdf_files_dataset,1,11,medium,compact,3446211,0.0,0.1364,0.1303,0.8,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/ros-industrial/xacro_generated/robotiq/robotiq_2f_85_gripper_visualization/urdf/robotiq_arg2f_85_model.urdf
robotiq,robotiq,mujoco_menagerie,6,12,medium,compact,2095560,0.1774,0.024,0.1147,7.738739945660001,0.0,BSD-3-Clause (Menagerie: robotiq_2f85_v4),3,mujoco_menagerie/robotiq_2f85_v4/2f85.xml
robotiq,robotiq,robosuite,6,9,medium,compact,506604,0.0002,0.1905,0.27,0.15979536499559285,0.0,"MIT (Stanford VLL + UT Robot Perception, 2022)",1,robosuite/robosuite/models/assets/grippers/robotiq_gripper_140.xml
robotiq,robotiq,mujoco_menagerie,8,15,medium,compact,1146396,0.1364,0.0,0.1157,10.424067945660001,0.0,BSD-3-Clause (Menagerie: robotiq_2f85),2,mujoco_menagerie/robotiq_2f85/2f85.xml
robotiq,robotiq,robosuite,11,15,low,compact,324732,0.0724,0.1859,0.15,0.513727193349019,0.0,"MIT (Stanford VLL + UT Robot Perception, 2022)",1,robosuite/robosuite/models/assets/grippers/robotiq_gripper_s.xml
robotis,dynamixel,mujoco_menagerie,2,4,medium,tabletop,1808304,0.0,0.026,0.5452,9.075712110370514,0.0,Unknown (Menagerie: dynamixel_2r),2,mujoco_menagerie/dynamixel_2r/dynamixel_2r.xml
robotis,op3,mujoco_menagerie,20,22,high,tabletop,16812624,0.042,0.3578,0.4137,125.66372,0.0,Apache-2.0 (Menagerie: robotis_op3),2,mujoco_menagerie/robotis_op3/op3.xml
schunk,schunk,urdf_files_dataset,1,5,medium,compact,518023,0.0,0.011,0.2049,0.0,0.0311,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/random/xacro_generated/schunk_modular_robotics/schunk_description/urdf/schunk_pg70.urdf
schunk,schunk,urdf_files_dataset,2,5,medium,compact,1139752,0.0,0.0,0.191,10.47197620478639,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/random/xacro_generated/schunk_modular_robotics/schunk_description/urdf/schunk_pw70.urdf
schunk,schunk,urdf_files_dataset,6,9,medium,tabletop,1455338,0.0,0.0053,0.807,34.858,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/random/xacro_generated/schunk_modular_robotics/schunk_description/urdf/schunk_lwa4p.urdf
schunk,schunk,urdf_files_dataset,7,11,medium,fullsize,635572,0.0,0.0,1.1394,37.30955592153876,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/random/xacro_generated/schunk_modular_robotics/schunk_description/urdf/schunk_lwa4d.urdf
schunk,schunk,urdf_files_dataset,7,10,high,fullsize,6000293,0.0,0.0,1.0337,41.87,0.0,"MIT (Daniella Tola, 2023)",1,urdf_files_dataset/urdf_files/random/xacro_generated/schunk_modular_robotics/schunk_description/urdf/schunk_lwa4p_extended.urdf
shadow_robot,shadow,mujoco_menagerie,12,20,medium,compact,2955792,0.0876,0.1082,0.2956,21.9915,0.0,Apache-2.0 (Menagerie: shadow_dexee),2,mujoco_menagerie/shadow_dexee/shadow_dexee.xml
